"Data Set 1:Time(s)","Data Set 1:Illumination(lux)"
0,22.9779052734375
0.050000000000000003,22.9779052734375
0.10000000000000001,22.9779052734375
0.14999999999999999,22.9779052734375
0.20000000000000001,22.9779052734375
0.25,22.9779052734375
0.29999999999999999,22.9779052734375
0.34999999999999998,22.9779052734375
0.40000000000000002,22.9779052734375
0.45000000000000001,22.9779052734375
0.5,22.9779052734375
0.55000000000000004,22.9779052734375
0.59999999999999998,22.9779052734375
0.65000000000000002,22.9779052734375
0.69999999999999996,22.9779052734375
0.75,22.9779052734375
0.80000000000000004,22.9779052734375
0.84999999999999998,22.9779052734375
0.90000000000000002,22.9779052734375
0.94999999999999996,22.9779052734375
1,22.9779052734375
1.05,22.9779052734375
1.1000000000000001,22.9779052734375
1.1499999999999999,22.9779052734375
1.2,22.9779052734375
1.25,22.9779052734375
1.3,22.9779052734375
1.3500000000000001,22.9779052734375
1.3999999999999999,22.9779052734375
1.45,22.9779052734375
1.5,22.9779052734375
1.55,22.9779052734375
1.6000000000000001,22.9779052734375
1.6499999999999999,22.9779052734375
1.7,22.9779052734375
1.75,22.9779052734375
1.8,22.9779052734375
1.8500000000000001,22.9779052734375
1.8999999999999999,22.9779052734375
1.95,22.9779052734375
2,22.9779052734375
2.0499999999999998,22.9779052734375
2.1000000000000001,22.9779052734375
2.1499999999999999,22.9779052734375
2.2000000000000002,22.9779052734375
2.25,22.9779052734375
2.2999999999999998,22.9779052734375
2.3500000000000001,22.9779052734375
2.3999999999999999,22.9779052734375
2.4500000000000002,22.9779052734375
2.5,22.9779052734375
2.5499999999999998,22.9779052734375
2.6000000000000001,22.9779052734375
2.6499999999999999,22.9779052734375
2.7000000000000002,22.9779052734375
2.75,22.9779052734375
2.7999999999999998,22.9779052734375
2.8500000000000001,22.9779052734375
2.8999999999999999,22.9779052734375
2.9500000000000002,22.9779052734375
3,22.9779052734375
3.0499999999999998,22.9779052734375
3.1000000000000001,22.9779052734375
3.1499999999999999,22.9779052734375
3.2000000000000002,22.9779052734375
3.25,22.9779052734375
3.2999999999999998,22.9779052734375
3.3500000000000001,22.9779052734375
3.3999999999999999,22.9779052734375
3.4500000000000002,22.9779052734375
3.5,22.9779052734375
3.5499999999999998,22.9779052734375
3.6000000000000001,22.9779052734375
3.6499999999999999,22.9779052734375
3.7000000000000002,22.9779052734375
3.75,22.9779052734375
3.7999999999999998,22.9779052734375
3.8500000000000001,22.9779052734375
3.8999999999999999,22.9779052734375
3.9500000000000002,22.9779052734375
4,22.9779052734375
4.0499999999999998,22.9779052734375
4.0999999999999996,22.9779052734375
4.1500000000000004,22.9779052734375
4.2000000000000002,22.9779052734375
4.25,22.9779052734375
4.2999999999999998,22.9779052734375
4.3499999999999996,22.9779052734375
4.4000000000000004,22.9779052734375
4.4500000000000002,22.9779052734375
4.5,22.9779052734375
4.5499999999999998,22.9779052734375
4.5999999999999996,22.9779052734375
4.6500000000000004,22.9779052734375
4.7000000000000002,22.9779052734375
4.75,22.9779052734375
4.7999999999999998,22.9779052734375
4.8499999999999996,22.9779052734375
4.9000000000000004,22.9779052734375
4.9500000000000002,22.9779052734375
5,22.9779052734375
5.0499999999999998,22.9779052734375
5.0999999999999996,22.9779052734375
5.1500000000000004,22.9779052734375
5.2000000000000002,22.9779052734375
5.25,22.9779052734375
5.2999999999999998,22.9779052734375
5.3499999999999996,22.9779052734375
5.4000000000000004,22.9779052734375
5.4500000000000002,22.9779052734375
5.5,57.96112060546875
5.5499999999999998,397.59521484375
5.5999999999999996,1606.1297607421875
5.6500000000000004,2855.7147216796875
5.7000000000000002,4167.1334838867188
5.75,6015.9512329101562
5.7999999999999998,8087.0608520507812
5.8499999999999996,8453.5455322265625
5.9000000000000004,8453.5455322265625
5.9500000000000002,8453.5455322265625
6,8453.5455322265625
6.0499999999999998,8453.5455322265625
6.0999999999999996,8453.5455322265625
6.1500000000000004,8453.5455322265625
6.2000000000000002,8453.5455322265625
6.25,8453.5455322265625
6.2999999999999998,8453.5455322265625
6.3499999999999996,8453.5455322265625
6.4000000000000004,8453.5455322265625
6.4500000000000002,8453.5455322265625
6.5,8453.5455322265625
6.5499999999999998,8453.5455322265625
6.5999999999999996,8453.5455322265625
6.6500000000000004,8453.5455322265625
6.7000000000000002,8453.5455322265625
6.75,8453.5455322265625
6.7999999999999998,8453.5455322265625
6.8499999999999996,8453.5455322265625
6.9000000000000004,8453.5455322265625
6.9500000000000002,8453.5455322265625
7,8453.5455322265625
7.0499999999999998,8453.5455322265625
7.0999999999999996,8453.5455322265625
7.1500000000000004,8453.5455322265625
7.2000000000000002,8453.5455322265625
7.25,8453.5455322265625
7.2999999999999998,8453.5455322265625
7.3499999999999996,8453.5455322265625
7.4000000000000004,8453.5455322265625
7.4500000000000002,8453.5455322265625
7.5,8453.5455322265625
7.5499999999999998,8453.5455322265625
7.5999999999999996,8453.5455322265625
7.6500000000000004,8453.5455322265625
7.7000000000000002,8453.5455322265625
7.75,8453.5455322265625
7.7999999999999998,8453.5455322265625
7.8499999999999996,8453.5455322265625
7.9000000000000004,8453.5455322265625
7.9500000000000002,8453.5455322265625
8,8453.5455322265625
8.0500000000000007,8453.5455322265625
8.0999999999999996,8453.5455322265625
8.1500000000000004,8453.5455322265625
8.1999999999999993,8453.5455322265625
8.25,8453.5455322265625
8.3000000000000007,8453.5455322265625
8.3499999999999996,8453.5455322265625
8.4000000000000004,8453.5455322265625
8.4499999999999993,8453.5455322265625
8.5,8453.5455322265625
8.5500000000000007,8453.5455322265625
8.5999999999999996,8453.5455322265625
8.6500000000000004,8453.5455322265625
8.6999999999999993,8453.5455322265625
8.75,8453.5455322265625
8.8000000000000007,8453.5455322265625
8.8499999999999996,8453.5455322265625
8.9000000000000004,8453.5455322265625
8.9499999999999993,8453.5455322265625
9,8453.5455322265625
9.0500000000000007,5241.8023681640625
9.0999999999999996,2071.3677978515625
9.1500000000000004,735.29296875
9.1999999999999993,70.224609375
9.25,22.9779052734375
9.3000000000000007,22.9779052734375
9.3499999999999996,22.9779052734375
9.4000000000000004,22.9779052734375
9.4499999999999993,22.9779052734375
9.5,22.9779052734375
9.5500000000000007,33.17596435546875
9.5999999999999996,22.9779052734375
9.6500000000000004,22.9779052734375
9.6999999999999993,22.9779052734375
9.75,22.9779052734375
9.8000000000000007,22.9779052734375
9.8499999999999996,22.9779052734375
9.9000000000000004,22.9779052734375
9.9499999999999993,22.9779052734375
10,22.9779052734375
